text,sentiment
I love this product,positive
Amazing experience,positive
Very happy with the service,positive
This app is fantastic,positive
Best purchase ever,positive
Absolutely wonderful,positive
I enjoyed using this,positive
Highly recommended,positive
Very satisfied,positive
Excellent quality,positive
I hate this,negative
Worst experience ever,negative
Very disappointed,negative
Terrible application,negative
Bad customer support,negative
Waste of money,negative
Really poor quality,negative
I will never use this again,negative
Awful performance,negative
Not worth it,negative
